Date,Season,Div,HomeTeam,AwayTeam,y,model_p_H,model_p_D,model_p_A,model_mondrian_size_a10,model_mondrian_mask_a10,model_mondrian_size_a20,model_mondrian_mask_a20,model_mondrian_size_a30,model_mondrian_mask_a30,market_p_H,market_p_D,market_p_A,market_mondrian_size_a10,market_mondrian_mask_a10,market_mondrian_size_a20,market_mondrian_mask_a20,market_mondrian_size_a30,market_mondrian_mask_a30
2025-08-29,2025,SP1,Elche,Levante,0,0.3899866226319485,0.29232569657785606,0.31768768079019544,3,HDA,2,DA,2,DA,0.4427206508371961,0.2928767382461451,0.2644026109166588,3,HDA,3,HDA,2,HD
2025-08-29,2025,I1,Lecce,Milan,2,0.11445331061840158,0.24338213011404292,0.6421645592675556,2,DA,2,DA,2,DA,0.13392160109767923,0.25336519126587964,0.6127132076364412,2,DA,2,DA,2,DA
2025-08-29,2025,I1,Cremonese,Sassuolo,0,0.2502789869987663,0.31437546951697676,0.43534554348425697,2,DA,2,DA,2,DA,0.33555370524562866,0.30308076602830974,0.36136552872606165,3,HDA,2,DA,2,DA
2025-08-30,2025,SP1,Real Madrid,Mallorca,0,0.821759421119677,0.1034124144184384,0.0748281644618846,1,H,1,H,1,H,0.8025682182985555,0.12520064205457462,0.07223113964686992,1,H,1,H,1,H
2025-08-30,2025,I1,Pisa,Roma,2,0.16654714445629284,0.31650852213774555,0.5169443334059616,2,DA,2,DA,2,DA,0.1806788511749347,0.2710182767624021,0.5483028720626633,2,DA,2,DA,2,DA
2025-08-30,2025,F1,Nantes,Auxerre,0,0.3544292747974396,0.33296704292297363,0.3126036822795868,3,HDA,2,DA,2,DA,0.37499999999999994,0.28409090909090906,0.34090909090909083,3,HDA,2,DA,2,DA
2025-08-30,2025,F1,Toulouse,Paris SG,2,0.1688755949996589,0.1314276645012994,0.6996967404990417,1,A,1,A,1,A,0.11098748261474271,0.17969401947148814,0.7093184979137692,1,A,1,A,1,A
2025-08-30,2025,D1,Augsburg,Bayern Munich,2,0.20005372762840173,0.11656457533134744,0.6833816970402508,1,A,1,A,1,A,0.10552147239263801,0.15828220858895703,0.736196319018405,1,A,1,A,1,A
2025-08-30,2025,D1,Werder Bremen,Leverkusen,1,0.17732631631713164,0.3438174920136484,0.47885619166922,2,DA,2,DA,2,DA,0.2626123744050767,0.24241142252776304,0.4949762030671602,2,DA,2,DA,2,DA
2025-08-30,2025,D1,Stuttgart,M'gladbach,0,0.6707065255352823,0.20902696719080882,0.12026650727390886,2,HD,2,HD,1,H,0.6013630896699185,0.2098089001737271,0.1888280101563544,3,HDA,1,H,1,H
2025-08-30,2025,D1,RB Leipzig,Heidenheim,0,0.643029456161182,0.24858647770126518,0.10838406613755275,2,HD,2,HD,2,HD,0.6373607140773585,0.1985881803862085,0.1640511055364331,2,HD,1,H,1,H
2025-08-30,2025,D1,Hoffenheim,Ein Frankfurt,2,0.24408671987315178,0.3442700011810661,0.4116432789457822,2,DA,2,DA,2,DA,0.3642410015649452,0.2492175273865415,0.3865414710485133,3,HDA,2,DA,2,DA
2025-08-30,2025,SP1,Girona,Sevilla,2,0.29816980372847296,0.396881556696799,0.30494863957472806,2,DA,2,DA,2,DA,0.3875,0.30625,0.30625,3,HDA,2,DA,2,DA
2025-08-30,2025,F1,Lorient,Lille,2,0.30116730030872524,0.3611146700050035,0.33771802968627124,2,DA,2,DA,2,DA,0.28526829268292686,0.27687804878048783,0.43785365853658537,2,DA,2,DA,2,DA
2025-08-30,2025,E0,Chelsea,Fulham,0,0.6302732825279236,0.19124753773212433,0.1784791797399521,3,HDA,2,HD,1,H,0.5618659104350859,0.240593864211947,0.197540225352967,3,HDA,2,HD,1,H
2025-08-30,2025,E0,Sunderland,Brentford,0,0.29574735294643134,0.24695556969742044,0.4572970773561482,2,DA,2,DA,2,DA,0.3042084168336673,0.2857715430861723,0.4100200400801603,3,HDA,2,DA,2,DA
